,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,pop,density
125,Maryland,24,337129,6792,23633,0.35518131426395294,0.25388228324800066,6065440,624.8522
126,Massachusetts,25,491452,13987,45756,0.36288137074919136,0.26186729609231574,6912240,886.1846
127,Michigan,26,593726,14940,25403,0.33216549226469316,0.306341770657009,9992430,176.7352
128,Minnesota,27,452336,6100,13956,0.4031957580968759,0.3895098882201204,5706400,71.6641
129,Mississippi,28,261167,5713,18575,0.31795423956931357,0.22847913862718708,2966410,63.2187
130,Missouri,29,478517,6932,22537,0.29067755246927274,0.20708168789102366,6169040,89.7419
131,Montana,30,91145,1106,4394,0.3686845698680018,0.297223486572599,1085000,7.4547
132,Nebraska,31,187496,1960,6593,0.38328530259365995,0.3538601547095404,1952000,25.4087
133,Nevada,32,268357,3967,14356,0.30586514349400945,0.23042630259125105,3185790,29.0195
134,New Hampshire,33,60951,971,6644,0.37281757977122215,0.4056291390728477,1372200,153.2671
135,New Jersey,34,650388,20875,62936,0.42484428625905685,0.3405681962628702,8874520,1206.7609
