,State,fips,cases,deaths,1 week increase in cases,2 change increase in cases/ 1 week increase,4 change increase in cases/ 1 week increase,latest Date Used,Average Case number per day,pop,density
37,Oklahoma,40,439149,4953,6933,0.357709505,0.314149719,4/2/2021,185.1428571,3990440,58.1739
38,Oregon,41,166014,2402,4083,0.563311291,0.648052902,4/2/2021,251.1428571,4289440,44.6873
39,Pennsylvania,42,1038349,25206,36372,0.685307379,0.765094028,4/2/2021,2537.857143,12804100,286.1699
40,Rhode Island,44,138255,2630,4918,0.556323709,0.504270028,4/2/2021,262.2857143,3194370,923.4952
41,South Carolina,45,554031,9179,15543,0.50627292,0.473589397,4/2/2021,566.1428571,1061510,1026.6054
42,South Dakota,46,118186,1938,2289,0.574486675,0.591087811,4/2/2021,121.4285714,5277830,175.5707
43,Tennessee,47,799445,11809,17047,0.504722239,0.39426292,4/2/2021,622.4285714,896581,11.8265
44,Texas,48,2799889,48755,60671,0.425277315,0.395559658,4/2/2021,1916,6944260,168.4069
45,Utah,49,386610,2131,6920,0.422976879,0.410260116,4/2/2021,256.4285714,29730300,113.808
46,Vermont,50,19755,228,1574,0.702033037,0.798602287,4/2/2021,107.5714286,3310770,40.2917
47,Virginia,51,622339,10279,19122,0.516682355,0.537443782,4/2/2021,832.8571429,623251,67.6197
48,Washington,53,369319,5325,9904,0.582189015,0.698303716,4/2/2021,612.8571429,8603980,217.8774
49,West Virginia,54,142653,2688,4128,0.643895349,0.703246124,4/2/2021,237.4285714,7796940,117.3248
50,Wisconsin,55,637988,7338,7971,0.567055576,0.606448375,4/2/2021,475.1428571,1767860,73.5444
51,Wyoming,56,56447,700,817,0.569155447,0.490820073,4/2/2021,36.71428571,5852490,108.0633
52,Puerto Rico,72,142387,2126,2829,0.611523507,1.112407211,4/2/2021,262.4285714,581075,5.9847
1,Alabama,1,515866,10553,11972,0.258102239,0.227865018,4/1/2021,178.1428571,4934190,97.427
